sentiments,cleaned_review
positive,i purchased this to replace broken battery operated cordless mouse think dropped it one too many times thought would give this rechargeable mouse try hope that won have to recharge it too often only had to do the initial charge so far and do lot of clicking also chose this one for its flatter design my other one was higher and after using it long time my hand got stiff maybe this one won do that so far it hasn 
neutral,all good use it for days on the boat and around the house 
neutral,receive product and it dont work
neutral,this thing sucks you have to be to close to the system for comfort tried it on my ps and it doesn work at all for ps not satisfied especially with how close to have to be to use the head set in the ps because in order to turn it on it has to be plugged into the back and the cord to plug into the controller isn very long at all so my hands had to be right up in the ps and it wasn comfortable at all
negative,stopped working stopped chargi stopped lighting up contacted customer service and they sent out replacement that showed up days late new one we shall see 
positive,amazing keyboard good feel great look
negative, was hoping for light weight mouse to use with my laptop instead seem to have purchased red dead mouse the only color it has is red and it doesn function at all besides weak light not impressed 
neutral,love it iv had it for about months now and can only recall time it went dead it wouldn have went dead if it weren for me neglecting to charge it but it left on for couple days other then that its great mouse use it almost everyday and only find myself charging it about once month 
positive,i needed something that could take heavy rain this made it overnight left out in costa rica rain and was totally fine battery is good and even started to use it for movies linking two together was easy and of course much better for movies
positive,love good sound powerful and stylish do not regret the purchase highly recommend 
neutral,basic mouse at reasonable price 
neutral,massive waste of money plus the red light was extremely bright and couldn be turned off 
neutral,got this to try to alleviate hand pain from using traditional mouse helped enough shape wise but the battery is so short that it doesn last day was using for work so that is problem 
positive,very good quality and very comfortable headphones
neutral,initially was pleased with the feel and performance of this mouse it is lighter and slimmer than the typical usb wireless mouse and it worked well however after about two weeks the scrolling wheel became erratic and it stopped working altogether today bit more than three weeks in use as result the mouse became essentially useless and am returning it 
positive,bought this for my husband birthday he loves it 
neutral,the microphone didn work very well
neutral,i like for gaming noise cancellation and sound quality
positive,love everythi g
positive,i love this mouse cause it has really cool lights and really like that it petite and lightweight 
positive,a lot of head sets don tend to fit my head so was happy to find this one is actually comfortable to wear 
positive,this is cute and slim and love that don have to replace batteries just charge it up when my computer is not in use use it for web browsing as well as basic gaming 
neutral,easy to pair second speaker 
neutral,does not last x
neutral,very difficult to turn on takes hours of trying then won shut off or keeps coming back on itself after shut off
positive,my son loves them
positive,i recently bought this for my son it perfect we ve had issues with soo many head sets being cheap quality this one is must love the color options as well his favorite color is orange so he loving this please order if you are considering buying one 
positive,i was told the item was perfect brought item for teenage sons birthday claims it to be the best gift he had in years
positive,headset is comfortable on the ears with great sound quality and great mic people can hear me with perfectly recommend it low price with great quality 
positive,love it as it multi functional
positive,this is great keyboard have had couple other keyboards and the reaction seemed to be little delayed this keyboard is very responsive and great illumination 
neutral,stopped working and wouldn re charge after few weeks threw it away 
positive,great product very happy with my new headset for great price would recommend 
neutral,adorable little mouse however the darn thing will be on and won do anything know to click to wake it if it in sleep mode but half the time it won be asleep and have to click like times for it to start actually working unfortunately ll have to find another mouse because this has become an irritating inconvenience 
positive,if you re looking for an inexpensive basic mouse this one is great the colors add an extra fun flair 
positive,great headphones for gaming noise cancellation amazing for the price 
neutral,this product is not worth the money it stopped working all together after and months 
neutral,granddaughter likes the lights
positive,great speaker for the money love the sound this is my nd jbl brand blue tooth speaker 
positive,this is very user friendly modle very light weight silent rechargable and easy to move around just one suggestion it will be better if the instruction has english version 
positive,i not sure what he is doing but there is sharp piece of plastic cutting him works great though 
positive,this mouse captures the eye because of the constant changing colors also like the feel of it it not bulky and big think its great investment good for kids and gaming 
positive,the sound quality is amazing it perfect for all the activities do outdoors within hrs of its arrival took it along on hay ride and had it playing while out grilling outdoor chores and bonfire love it 
neutral,it works just fine just not practical always have to recharge the battery it is bit of an annoyance 
negative,only negative it does not have mic
neutral,i loved this mouse it was slick and easy to use however it was not once used on regular basis only used it may hour max each day the charge did not hold and here am less than year in and it no longer holds charge tried to return but not accepted 
negative,the charging port is terribly built only worked for month
neutral,easy to carry 
positive,works great for work super comfy even with my glasses 
negative,the overall audio is really good but you can only hear from one side of the headphone and every often you can hear static noise that is coming from the headset and the only way you can fix it is by unplugging and plugging back in and know that not exactly you know annoying or an inconvenience but it is kind of annoying to you know having to unplug and plug back in
neutral,my stapler has destroyed uncountable mouse by stapling through the cord that is one headache ll not miss thank you it wonderful product 
neutral,scroll wheel broke within few weeks of use 
neutral,just wouldn connect plugged it in and was fully charged just didn work
neutral,easy install and fast charge up
positive,love this thing easy to use really light good feel to the keys nice and quiet wonderfully helpful small company that makes affordable and well made equipment
neutral,battery won stay charged very long
neutral,for some reason this headset would not get recognized by my pc despite the product saying it is pc friendly very disappointed and pcers cautioned 
neutral,thanks
negative,this mouse died months after got it and it spent most of it time turned off inside laptop bag 
neutral,i bought this for gaming and so far it working exactly as intended no problems as of yet 
neutral,the mouse only works if directly next to the usb port it is plugged into so it is useless if using it foot below on keyboard tray the instructions are not in english to try and troubleshoot 
neutral,they were cheap and not comfy at all
positive,really good headset recommend buying
negative,product died almost immediately after warranty period expired will not charge or turn on 
positive,the mouse won charge anymore put it on charger for hours and when my daughter trys to use it all it does is flash red and doesn work so much for her christmas present
neutral,the microphone stopped working after owning the headphones less than week 
positive,i really upset about this had gotten this as gift and it stopped working on the rd month had it it won charge anymore purchased few charger cords and still won charge now ima just have to purchase new one from somewhere else because not gona take it in somewhere to get fixed and pay the same amount to fix it like paid to buy this speaker 
negative,i never right review but had to help people save money and time do not buy this product it sucks so bad it takes min so you can type after freezing 
positive,my old mouse needed aa batteries and they always needed changing because it didn sleep this mouse is awesome holds good charge falls asleep mulitple dpi and cool lights too should have gotten this sooner 
neutral,the first seconds it works fine then is glitchy and is worthless 
positive,i like this wireless mouse for now hoping nothing goes wrong with it so far it been very dependable and works correctly the design is perfect and love the different colors it works the moment you connect the usb connector to the computer and turn the mouse on the only thing don like is how quickly it goes into sleep mode but that not too big of an annoyance 
neutral,mic doesn work and have to mess with the head jack to get both speakers to work
positive,mouse is great bargain does everything it should do
negative,the aux input doesn work properly the sound keeps cutting out this is simply bad design and when contacted jbl support about this here was their official response our jbl charge normally goes on standby when there is no sound coming out of the speaker for while this feature can be turned off they called their poor design feature much in the same way faulty brakes on car is feature they also solicited me for star review and incentivized me with gift card so stars 
neutral,compact slim and well light recharges quickly when drained completely comes out of sleep mode in the blink of an eye 
neutral,very good sound
negative,was decent first month very flat so not ergonomic but that personal taste issue is this is already broken the scroll wheel no longer works even for mouse that pretty pathetic since ve had other mouses for years at time had the same issue as other reviews with the cursor randomly jumping too so there might be some design issue with the sensor 
positive,the mouse is sturdy and the rainbow lighting feature is fun it auto shuts off after minutes think which is great for saving the battery thought that having to put it on charger would be major inconvenience it not at all the recharge is quick and only do it once week so far 
positive,love that its rechargable and the led lights 
positive,its so cute slim and pretty 
neutral,after only months it will no longer hold charge
neutral,honestly waste of money didn charge after hours and just didn work 
neutral,cant use it while its plugged in use laptop so have little room for usb mouse and keyboard and it doesn work while its plugged in charging or atleast thats what ive found
positive,has worked great until now charged it and now it won turn back on can return it either not worth the money 
neutral,mine did not hold charge very long day at the most if don use it for work when used it for work needed to plug it in half through my workday so use it only on my private computer couple hours day 
neutral,quit working after weeks of use
positive,perfect my son loves them
neutral,piece of junk stopped working after day now the only way for the cursor to move is if you hold down the right mouse button how is that even possible did the mouse rewire itself not sure how this product is so highly rated 
positive,have not had this too long and ve charged it and it won turn on anymore made sure switch is off even changed chargers it stopped working 
positive,it is good speaker the sound quality is great no complains about it it feels really good built and the bass is great but the volume it is not as good as thought would be not bad at all because of the speaker size the batery time claims to be hours of playtime but havent try for that long yet but in general terms it is good speaker
positive,very happy with the sound quality 
positive,great product very competitive price 
positive,the texture is very good to hold and mostly very quiet feel very good about this shopping experience the shipment was very fast and it arrived much earlier than expected 
positive,the photo compares the flip smaller and charge larger the charge is well worth the extra it louder more bass and much much crisper sound the flip sounds just like the wonderboom which is fine but not for really enjoying the range of sound of your music haven purchased any other bluetooth speakers so can speak on how these compare to bose or other more expensive brands for my needs in bedroom apartment of these in the bedroom kitchen and bathroom works nicely very easy to connect battery life is amazing does take time to charge but plays and charges at the same time they connected to one another easily 
negative,the matte coating started peeling off within week or two of using it it still works well but looks terrible 
neutral,i ordered this in early june and really enjoyed the fun color and sleek design however now in late july about months later first the usb transmitter broke off and got stuck in my laptop and then the mouse itself stopped charging and no longer works guess you get what you pay for look elsewhere 
positive, aesthetically this is very enjoyable to use because of the changing colors of the rainbow like how it wireless and it can even work from small distance away on another table from separate from my computer it works very well it has an on and off button for storage 
negative,shown new work with ps works barely but requires cord to be plugged into usb port for lights sound was terrible box condition showed headset had at best been repackaged at worst repaired sold as new don wast your time or money on these 
neutral,its not wireless use the mouse for my hp elitebook and the only way can use it if have the charger connected
neutral,it doesn work
positive,i don know about gaming but for everything else it works great 
positive,i am fan on jelly bean type of mouse had previous jelly bean mouse that ended up giving to family member and was searching for another one to replace it and came across this one the lights is the one that did the trick for me here just love the lights other than that its nice light mouse could have been little shorter its longer mouse compared to my previous one but other than that very functional and light and can be carried in the pockets to meetings in offices which is what do primarily with this one 
positive,works well hooked up immediately love the feels and the look 
neutral,mouse is nice and lightweight and quiet but its lags and jumps around sometimes
positive,it great but being smaller makes it easy for larger fingers to hit the wrong key works great and looks great and the extra features are cool 
positive,works great my year old enjoys playing with this using his xbox 
positive,for its size it pounds out the music with surprising clairity and volume bass is astounding for its size perfect size for on the go with bikes side by sides camping and not to mention water use on the boat or beach with being water resistant solid science behind this unit worth every penny 
positive,we used for gaming works great and really good price for the quality 
neutral,i bought this brand for the conveniance of using adapter provided with the product for usb the adapter is so loose it falls off tried in different computers that has usb csame problem have days to return let me check how long the battery holds good before charge 
neutral,beautifully produced and lovely to look at for mouse the lights are welcome addition to an otherwise drab workspace did notice that it tends to go into sleep mode quickly but takes longer wake up time than expect on screen busy with windows the cursor freezes in position until the mouse fully comes back to life it frustrating for anyone who isn patient 
positive,it looked like it does in the pic listing says it works with apple no clear directions on using it with the iphone terrible self support and regular support the info of setting up iphone was basically it works on some stuff might work on iphone figure it out yourself the support is none they never contacted me back and couldn get it to work so sent it back worst service ve had on amazon no excuse for not at least responding to support issue steer clear of them they don care about their customers 
positive,great for pc
positive,these are so amazing gaming headphones love them cant hear any noise this product is great
neutral,i bought this in and it has been very big disappointment it has constant connection issues today finally gave up and am ready to throw this thing in the trash where it belongs do yourself favor and go with keyboard that can connect without issues more than ft away 
neutral,good headset
neutral,this product worked only for the first time have charged it and then could not hold any charge have kept it plugged for whole day without success do not waste your money get decent product from decent manufacturer 
neutral,for the price it way better than more expensive ones 
positive,excellent thin size prefer this new wireless for its thinness and rechargeability 
positive,i recently got job working from home and needed mouse to accompany purchased the rose gold it is beautiful came on time and hooked up with no issues if you want to use the color changing lights make sure to flip the switch on the bottom of the mouse all the way to the sunshine symbol took me few to figure that out but otherwise great product 
positive,jbl did it again another excellent speaker just like all the rest nice
positive,the mouse is aesthetically very cute and does feel nice on the hand main issue is for both gaming and other computer activities the mouse will randomly jump across the screen which has never happened with any other mouse it led to misclicks ve deleted emails didn mean to because of it essentially just unreliable 
neutral,only one side works
positive,bought to replace older belkin that had no wheel trying to learn cad so the wheel is necessary this mouse is amazing can believe the cost my girlfriend stole it to take to work so ordering another one very impressed 
positive,such cool mouse surprisingly good especially for the pricepoint 
negative,the scroll button broke after just month would not recommend
negative,not great item for long term use could be more sturdy 
neutral,for gaming 
positive,easy to set up connect happy with this product
positive,bought this headset for gaming it comfortable on the ears good because when play tend to play for looong time and has high quality sound and microphone the only con is that it is mostly plastic 
neutral,bought these for my sons birthday in may and gave them to him first week in june it the second week in july and the sound and microphone cut in and out this product is junk and not worth the money 
positive,easy to use great to go wireless 
positive,i bought this headset for my boyfriend birthday last month and he loves it for the price this is an outstanding product it high end quality in my opinion and hasn given any issues at all 
neutral,i don know if there is compatibility issue but it just doesn work most of the time try to click on things and there is no response don recommend it at all 
positive,great headphones and they hold up well for how rough my kids are with them 
negative,i was told that the speaker makes two sounds before playing audio from the other paired device one for when it turns on via pressing the power button and another for once it connects to paired device got no sounds from either of actions turn the fully charged speaker on from this point am supposed to hear sound notifying that the device is on all see is the power button light light up then press the bluetooth button and that lights up too then connect it to my phone which has connected to other bluetooth devices perfectly fine get the notification on my phone that it is connected to the speaker but no sounds from the speaker notifying that it is connected to the phone even reset the speaker and it still gives no sound very disappointed will be returning 
positive,like design look feel soft touch silent click sleep feature single click to wake it up dislike it loses the charge bit quicker than prefer but works welledited from original review would recommend
neutral,this keyboard went from being usable for couple of days without charge to having to stay connected permanently
positive,excellent sound
positive,these are great headphones my year old son loves them the noise canceling is very impressive on them for the price 
positive,excellent keyboard have ever use it keyboard lights just light up whenever you touch any keyboard key but it would be nice if package would comes as combo with mouse 
neutral,i got white one and the leds shine thru the plastic the pointer tracking laser noticeably strobes will get something better made
neutral,my fav speaker ever 
neutral,most think this will work on gaming console partially they will but how the console is designed there is no usb port next to an audio outlet there fore the player is left to choose between the lights on the earphones working or the audio working and we all know audio is must so all that is left is whats the point of the lights if you cant use em while gamethese are computer gaming earphones
positive,for the price it is great 
positive,love it while it worked great quality suddenly stopped holding charge nothing happened to it obviously could be coincidence that it happened right after warranty expiration but suspicious enough that think will buy different brand in the future after good experience this one had bought another maybe months ago and we ll have to see if that lasts more than year now too
negative,dead in weeks
neutral,they are ok for the money
positive,to charge have to press down on the cord where it plugs into the mouse and hope for the best scroll wheel clicks are loud 
neutral,sound reflects lot don be fooled by the image
positive,i bought two of these speakers and was quite satisfied at first my first would not hold the charge after quite bit of use bought second one and the battery would not hold charge contacted the company and was never contacted the speaker is good battery and customer service is quite questionable 
positive,likes no noise click lights look cool chargeabledislikes chargeable battery life is very short had to turn off every time don use it or else battery runs out super fast within days after months the charging outlet is broken there no way to fix it now can use it anymore safer to go back to traditional battery mouse which lasts for long time 
positive,i really enjoy this product such big sound out of small device hooks up very easy and battery lasts long it you can even charge your phone with it love mine
positive,it really loud and big it portable but not the most portable because of its size getting it is win for anyone
positive,it was nice quiet mouse but about months in ve had issues charging with different and the original charging cord the charge does not last very long either really wanted to like this but will be getting new mouse only use this for work as work remote 
negative,this lasted barely months and microphone is broken ear speaker still works other speaker is broken this is low quality junk pay little extra and get something that works 
neutral,i had to update my review because initially gave it only one star it abruptly stopped working after months but realized the following day that it was actually problem with my mac or wifi instead of the mouse when attempted to print my mac was also not finding my printer ooops so shut down my mac my printer my wifi and when turned everything back on all was well not sure which thing caused the problem but happily my mouse is working fine again no one contacted me to change my review was not offered anything as business owner understand how important reviews are so when something turns out differently we need to update our review it the right thing to do 
positive,love my mouse love that it comes with the usb adapter it was very easy to instal works perfectly 
neutral,only works when you plug into usb not just the controller 
positive,is perfect for jamming out in the pool 
positive,it was easy to setup the mouse works perfectly and absolutely love the color change lighting 
negative,gets insensitive very quickly and it so hard to use light and small and not ergonomic at all dont recommend buying
neutral,the price is right and it has rechargeable battery if you want that wireless vibe or you can keep it connected 
neutral,i loved this but ve only had it two months and it stopped working 
neutral,wish you could have the option to not have the led color lights on all of the time or way to just pick one and not have the constant circulation looks bad during the day
positive,works as described love the lights 
positive,this mouse never worked charged it fully before first use tried it on different devices never worked it turns on the led is nice but it won move or click will be requesting refund don get this not worth the hassle nor the price this is s 
positive,recently bought the keyboard less then three days ago despite being fully charged it constantly turns off and stutters when try to use it for wow ll press the key to move forward and my character will take step stop for few seconds and take step while hold the key down do not waste your money on this 
positive,i purchased this mouse for my daugyer and live that she loves it had wireless before but nothing compared to this one easy set up too would definitely recommend this mouse 
neutral,he uses it with his xbox controller and has to hold it certain way to get it to work
positive,you will have great piece of technology in your ears at low cost just enjoy them 
positive,i had to replace my mouse and decided to try this mouse out since it had lot of reviews it works great the mouse looks good and has sleek design the led lights are fun touch and the dpi feature is nice to have had zero issues connecting the mouse to my macbook wirelessly to with the usb port what did notice was my hand started to feel uncomfortable with only an hour of use coming from mouse that had an arch in the design this mouse was little flatter than that another are the clicks and scrolls it definitely is not quiet when it comes to clicking and scrolling it not loud like compared to regular mice but it is louder than my previous quiet mouse did end up returning the mouse but would still recommend this to those who like this mouse design it still great mouse overall 
positive,great all around headset for the price 
positive,very lightweight and easy to use highly recommend this product changing leds really make it more enjoyable experience would definitely repurchase again in the future awesome customer service 
neutral,not good
negative,this was delivered less than weeks ago it barely been used and is already broken cannot right click at all would not recommend this product at all 
neutral,keys light up very brite 
neutral,nice sleek design however does not hold the charge for long it frustrating when the computer is turned on and it doesn come on after switching it on 
neutral,convenient and quiet mouse
neutral,it works okay in the first couple of minutes and then the cursor starts to jump other than moving smoothly as the mouse moves also clicks often fail to work at the first button down sometimes several clicks need to trigger an action threw it away and ordered other products 
neutral,it never would charge 
positive,i have had this headset for month and half it very good headset love it so much big fan with how many different color choices for the headset there are too thank you guys so much 
positive,its great good sound quality and style 
positive,i love this keyboard the keys are super quiet and it comfortable to type on it great having the colors as opposed to simple white backlight only have two issues first do with the colors were tad bit brighter second would like way say downloadable software to control the brightness as well as how fast the colors fade or not at all even and lastly how long before sleep mode kicks in for the price though you definitely can complain and frankly feel my issues are very minor 
positive,all around solid best dollar investment ve made 
neutral,does work for ps controller just doesn have plug to light up
positive,the mouse works better then expected the battery life has exceeded week so far if you have surface go this mouse will not disappoint very happy with this item would recommend 
positive,works for what needed it to do but would be nice as work early in the mornings background lights could be al little brighter make it easier to see the keys the time out for sleep should be extended somewhat maybe little longer other than that does the job feels good to type on 
positive,i wanted my daughter to have good headset so she can talk and play and watch her shows with her cousins when they re far away absolutely love these they look so awesome and light up and have cord that can move around with what lol so far loving them can you tell 
positive,randomly moves the cursor to the top left definitely for gaming 
neutral,just stopped working after seven months 
neutral,nice mouse for few months of light use after that it would not take charge even tried swapping cables big disappointment
positive,my sister loves her mouse she uses it with her laptop 
positive,love the back lighting just wish they could stay on 
positive,works great comfortable and smooth 
neutral,there good for gaming but they could be louder
positive,great mouse very fast and smooth was skeptical at the price being so cheap but wow fantastic item would definitely buy again in fact am getting second one for my son for school 
neutral,this is clean simple design completely simple to install 
negative,package was opened and parts were missing had charging cable bu no other parts paid fo new product
negative,love the slimline appearance and the changing colors the colors add sense of fun to normally mundane piece of computer equipment also love the ability to keep it one color red or allow it to change colors and the ability to change the speed of the cursor good product well designed make sure you are aware of the button on the bottom as it is not just an on off switch but has three positions this is now october this mouse broke after little use while traveling the scroll wheel broke inside the mouse making it useless this appears to be poor design and weak point in this item and would now not recommend it have had other computer mice for years without this issue 
neutral,good quality sound
positive,i haven used them but they seemed great so far out of the box 
neutral,center wheel was hard to roll after couple of days few days later the whole thing failed like the rechargeable feature but battery does not last long
neutral,ok
positive,i pruchased this because since working from home have become so tired of all the wires from mouse not only is this great price but plugged it in charged it from the box and it started working perfectly it is smaller than my older mouse but like it it is silent and feels nice in my hand 
neutral,does not work at all lights come on but it doesn connect to dongle and does nothing 
neutral,came with speaker but no directions or charging cable 
positive,headphones are great with amazing sound quality decent noise cancellation and would say it good for gaming did realize when it at full volume you can hear it from distance and sadly the lights don rly work bc the wire that makes the light turn on doesn reach when also try to use the headphones 
positive,i like that this cute mouse holds charge for days and is rechargeable no more batteries dying on me 
positive,i thought it was battery operated but didn read the description well enough it lasts about days between charges at least can see the keyboard without the lights on happy with it 
positive,the quality was great and everything worked fine it was very easy to use but it only worked for about months until the mic stopped working it seems others had the same issue as well not too bad for price though edit the microphone started to work again it occasionally gets spotty and my audio can sound muffled to others but that not all the time the speakers still work great can hear clearly 
positive,the speaker was for my husband motorcycle he able to put it on his motorcycle ride with it bluetooth connection real easy for him the sound of the speakers very loud he very happy with it easy for him to set up and he was able to charge it without taking it off his motorcycle so that even better plus it waterproof he loves it and we will definitely buy it again two thumbs up
neutral,this is probably the single most frustrating headset have ever dealt with the mm jack fits loosely in dell workstation it is not wired correctly does not work in combo headset mic jack on the same workstation the usb connection is purely to power the leds ended up replacing with cheaper headset from reputable manufacturer and all of the issues ceased 
positive,i have this same model in bluetooth and it works great needed it for an old yoga win laptop no issues and works great
positive,good sound easy to use
positive,best mouse have ever used very smooth and really sharp looking 
positive,its really light weight and you don hear the mouse clicks however the usb blutooth is located at the bottom of the mouse didn have tough enough finger nails to pull the usb out logitech has their blutooth in the mouse where the battery is located but this didn have visible battery so used the tip of knife to pop the usb out almost nicked my hand from the blade getting the usb out you may do better job than me 
neutral,no quality
positive,the company is so kind and understanding really appreciated all their help with the product 
positive,i love the way this mouse performs 
positive,awesome quality and great price
neutral,it is good for noise canceling
neutral,the keyboard is very light and doesn feel too cheap but it never detected on my dell computer not sure if it my software windows or the keyboard but it would light up and then go dark when tried typing on it the manual didn explain anything because the keyboard is supposed to automatically be detected and work my other vic mouse and redragon keyboard work just fine returning for refund will stick with my wired for now 
neutral,never buy this product when buy something usually look at product reviews but this product seems to have lot of problems unlike reviews don usually post reviews but posting this product review in hopes that there won be victims like me bought mouse and it worked fine at first but after charging it it started to get weird and didn work at all so thought there might be small problem so exchanged the new one instead of refund received new mouse and it worked fine for another few days but after charging it again it didn work the product user manual says it is sensitive to charging but this is serious problem bought this product for the convenience of not using the battery or wire but think it makes no sense to not work because of the charging prolem 
positive,i don do gaming really just wanted lighted keyboard could use with my home theater setup this one does the job but after six months the on off switch developed problem so contacted the company about the issue they responded really fast and bent over backward to supply me with satisfactory solution super nice folks too recommended 
positive,great product for gaming at great price
neutral,be ready to turn it on and off every mins of non use the thing goes into sleep mode then is sluggish in its response time till you restart it not something would reccomend
positive,it wasn until my husband gave me his mouse to play my sims with that realized how much loved using one even on laptop he said could have his red and black one but lo and behold when opened up amazon and put in wireless mouse found my own type of dream mouse got the mint green colored one and honestly obsessed with the glowing of the different colors great mouse great price wish needed more than one to be honest 
positive,this mouse is the best it got quiet click and has sleep mode as well highly recommend 
neutral,didn last worked for short while guess you get what you pay for 
positive,my gf loves her headset
positive,great sound for the value sounds like your at live concert
positive,for the price it works fine and is comfortable can wear it for hours and it doesn hurt have no idea about noise cancelling not an audiophile or anything but it sounds fine to me for my needs have asked people on the other end if the mic sounds good and they say they can hear me fine it is loud enough but do wish it was able to get even louder for some uses rating it stars for filling my needs but stars on the gaming scale because while can hear footsteps and surround sound sure it must not be as good as turtle beach or something ve also had it for years and no issues no idea about the lights because ve never plugged that in 
positive,this mouse works very well holds good charge and is easy to connect and transport as travel quite bit 
neutral,the scroll wheel broke
positive,i absolutely love this keyboard normally get just the regular wireless or plug in but never again can type so much faster on this keyboard it responds beautifully fewer typos even because it keeps up with me and the cool lighting is pleasing bonus 
positive,i would give it stars if could my husband loves it very loud and great for outside at the lake we lost it in the lake for weeks and found it at the neighbors by their dock best part is it still works no sound quality loss or anything would highly recommend 
positive,it works smoothly and the colors are fun keeps charged for good while 
neutral,is everything had hoped for and more 
neutral,the product is cheap and worked well for the first months
neutral,it needs to be charged daily as use it all day at work do like the color changing light it brightens up my day 
positive,my wrist no longer hurts after being on my computer sexy running lights let me see where it is on my desk love the pink color now no one can take it when there batteries are dead and claim your mouse needs batteries gotta love family ingenuity 
neutral,so have had this mouse for about weeks and it works perfectly never encountered the problems people had with it stopping and people say that the battery dies too quickly which have been using on the same battery without charging it for days my cursor has also never messed up it works just fine the only problem have with this device is the lighting is not nearly as impressive as thought it would be but guess that what you get for buying mouse for 
neutral,mouse is pretty solid all around except about day after started using it the wheel started squeaking figure it might go away in time nope months later still squeaking and getting more irritating by the day working in an quiet office it is loud enough that other people can hear it 
neutral,excelente bocina
positive,used it to video chat during online games works great
positive,these headphones are great for gaming with my friends like that the microphone folds up and it works perfectly with my ps would say that the passive noise cancellation is just due to the thick memory foam earmuffs which are nice but wanted to make it clear that they aren active noise cancellation headphones 
positive,great battery life and put water on the bass part and it didn damage the speaker at all instead it made pretty cool effect when played song with heavy bass
positive,fast shipping great product as expected
positive,i got this mouse to use with my laptop and it great glides easily holds charge for quite while and enters sleep mode when not in use to wake the mouse up you just right or left click the changing lights are great and fun touch
positive,this mouse is very light weight and the added colors make it super cool it also holds charge for very long time which is helpful really great product for the price 
neutral,nice mouse
positive,love it very ergonomic
neutral,is really comfortable and has good sound however the main reason bought this was for my work from home and desperately needed noise cancelling headphones this simply are not 
positive,good fit sounds is good and great for gaming
positive,i love itttttt
neutral,they moved the back slash and pipe command key down next to the key and made the enter key taller keep hitting the key instead of the enter key 
positive,good headset for ps recently got mine and they are overall good for everything 
positive,the bengoo stereo gaming headset has an outstanding mic and the noise cancellation helps lot ve just got it today and tested it out the sound is amazing and the microphone is outstanding as well had many of my friends confirm the sound of my microphone and the led lights make it look cooler really recommended 
neutral,listening music videos
positive,my son enjoyed the sound quality of the headset and loved that it turned on the colors 
positive,i bought this for my son who uses them for gaming and watching videos on his ipad he loves them and they are very comfortable they work great and the sound is good too
neutral,all hear is static and can barely be heard from others very unhappy
positive,this headset is very comfortable with good sound and mic got the purple for myself and the pink one for my daughter and they are both very pretty and work great 
positive,i have no complaints as of right now love it 
positive,easy to use lightweight and comfortable to the hand 
neutral,the adapter does not connect correctly to controller barely any sound in headset comes and goes don waste your money 
neutral,its not wireless use the mouse for my hp elitebook and the only way can use it if have the charger connected
positive,this mouse is very comfortable and ergonomic it is also very silent the led lights are very calming love it recommended 
neutral,real light weight easy to use connects quickly
negative,i ve had of these randomly stop working in the last year both stopped clicking after minimal use less than days on the first one less than for the second don understand why this product is so highly rated it terrible learn from my mistakes 
positive,jbl charge produces the most awesome high quality sound from portable bluetooth speaker have ever heard from including larger speakers you could jam to music or watch movie with movie theater quality sound worth every penny 
neutral,stopped working less than month after purchase 
neutral,classic jbl speaker can go wrong also beautiful color
positive,its very light and fast comfortable and changes different colors great buy 
positive,works great for our daughter 
negative,this mouse was bad quality 
positive,great 
positive,they do feel cheap and that ok for the price but the mic and sound are better than expected so you won be disappointed of you consider the price the mic is loud and clear and it does an amazing job at filtering my music playing on the background so it just picks up my voice and does not disturb other players 
negative,why there no lights or showing if it charged or not have to turn it on to see the lights to see if it charge do you have to do that all the time turn it on to see if it charged or can you just plug it in and the lights will show if it when it going to be fully chargeyou have to turn it on to see the lights to see if it charge do you have to do that all the time turn it on to see if it charged or can you just plug it in and the lights will show maybe something wrong with mine please let me know
neutral,the mouse is cute and like the colours but it dies every hour and have to plug it back in and just revert back to the mouse pad will be returning and getting something more basic with longer range of not having to be charged up 
positive,only thing don like about it is that the cable included in the package is only for charging rather than for charging and wired use you must use the wireless adapter for it to work not huge deal but it would be nice if wired use was an option it would make sense 
